[ 2025-03-17 12:07:46,661 ] 12 root - INFO - Data Ingestion Initiated
[ 2025-03-17 12:07:49,606 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-17 12:07:49,606 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-17 12:07:49,606 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-17 12:07:49,733 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-17 12:07:49,733 ] 18 root - INFO - Data Ingestion Completed
[ 2025-03-17 12:07:49,733 ] 20 root - INFO - Data Validation Initiated
[ 2025-03-17 12:07:49,784 ] 32 root - INFO - Required number of columns:31
[ 2025-03-17 12:07:49,795 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-17 12:07:49,795 ] 32 root - INFO - Required number of columns:31
[ 2025-03-17 12:07:49,795 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-17 12:07:49,969 ] 25 root - INFO - Data Validation Completed
[ 2025-03-17 12:07:49,969 ] 27 root - INFO - Data Transformation Initiated
[ 2025-03-17 12:07:49,969 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-17 12:07:49,985 ] 48 root - INFO - Entered get_data_trnasformer_object method of Transformation class
[ 2025-03-17 12:07:49,985 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-17 12:07:50,020 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-17 12:07:50,024 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-17 12:07:50,025 ] 32 root - INFO - Data Transformation Completed
[ 2025-03-17 12:07:50,025 ] 34 root - INFO - Model Training and Evaluation Initiated
[ 2025-03-17 12:09:16,162 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-17 12:09:16,162 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-17 12:09:16,162 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-17 12:09:16,209 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-17 12:09:16,209 ] 141 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_17_2025_12_07_40\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.991359154213683, precision_score=0.9886455798864558, recall_score=0.9940876656472987), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9765780071456928, precision_score=0.9707971586424625, recall_score=0.9824281150159745))
[ 2025-03-17 12:09:16,209 ] 39 root - INFO - Model Training and Evaluation Completed
